player1,player2,odds_player1,odds_player2,tournament,round,target,tournament_enc,round_enc,model_prob,book_prob,value
Hibino N.,Sconfitto,1.91,1.91,ASB Classic,1st Round,1,0,0,0.46397222222222234,0.5235602094240838,-0.11381305555555532
Sconfitto,Hibino N.,1.91,1.91,ASB Classic,1st Round,0,0,0,0.46397222222222234,0.5235602094240838,-0.11381305555555532
Tauson C.,Sconfitto,1.5,2.63,ASB Classic,1st Round,1,0,0,0.96,0.6666666666666666,0.43999999999999995
Sconfitto,Tauson C.,2.63,1.5,ASB Classic,1st Round,0,0,0,0.126,0.3802281368821293,-0.66862
Marino R.,Sconfitto,1.91,1.91,ASB Classic,1st Round,1,0,0,0.46397222222222234,0.5235602094240838,-0.11381305555555532
Sconfitto,Marino R.,1.91,1.91,ASB Classic,1st Round,0,0,0,0.46397222222222234,0.5235602094240838,-0.11381305555555532
Pera B.,Sconfitto,1.57,2.38,ASB Classic,1st Round,1,0,0,0.77,0.6369426751592356,0.20890000000000009
Sconfitto,Pera B.,2.38,1.57,ASB Classic,1st Round,0,0,0,0.1875,0.42016806722689076,-0.55375
Osaka N.,Sconfitto,1.06,10.0,ASB Classic,1st Round,1,0,0,0.99,0.9433962264150942,0.04940000000000011
Sconfitto,Osaka N.,10.0,1.06,ASB Classic,1st Round,0,0,0,0.042666666666666665,0.1,-0.5733333333333334
Grabher J.,Sconfitto,2.5,1.53,ASB Classic,1st Round,1,0,0,0.74,0.4,0.8500000000000001
Sconfitto,Grabher J.,1.53,2.5,ASB Classic,1st Round,0,0,0,0.22,0.6535947712418301,-0.6634
Li A.,Sconfitto,1.67,2.2,ASB Classic,1st Round,1,0,0,0.7875,0.5988023952095809,0.3151249999999999
Sconfitto,Li A.,2.2,1.67,ASB Classic,1st Round,0,0,0,0.1845,0.45454545454545453,-0.5941
Volynets K.,Sconfitto,2.1,1.73,ASB Classic,1st Round,1,0,0,0.6800198412698413,0.47619047619047616,0.42804166666666665
Sconfitto,Volynets K.,1.73,2.1,ASB Classic,1st Round,0,0,0,0.2882142857142857,0.5780346820809249,-0.5013892857142858
Kenin S.,Sconfitto,1.8,2.0,ASB Classic,1st Round,1,0,0,0.7375595238095238,0.5555555555555556,0.327607142857143
Sconfitto,Kenin S.,2.0,1.8,ASB Classic,1st Round,0,0,0,0.14208333333333334,0.5,-0.7158333333333333
Baptiste H.,Sconfitto,1.4,3.0,ASB Classic,1st Round,1,0,0,0.685,0.7142857142857143,-0.041000000000000036
Sconfitto,Baptiste H.,3.0,1.4,ASB Classic,1st Round,0,0,0,0.135,0.3333333333333333,-0.595
Keys M.,Sconfitto,1.2,4.5,ASB Classic,1st Round,1,0,0,1.0,0.8333333333333334,0.19999999999999996
Sconfitto,Keys M.,4.5,1.2,ASB Classic,1st Round,0,0,0,0.06,0.2222222222222222,-0.73
Minnen G.,Sconfitto,1.5,2.63,ASB Classic,1st Round,1,0,0,0.96,0.6666666666666666,0.43999999999999995
Sconfitto,Minnen G.,2.63,1.5,ASB Classic,1st Round,0,0,0,0.126,0.3802281368821293,-0.66862
